award_received,award_received_label,based_on,based_on_label,based_on_work,based_on_work_label,box_office,budget,cast_member,cast_member_label,composer,composer_label,country,country_label,description_en,description_tr,director,director_label,distributor,distributor_label,duration,duration_minutes,executive_producer,executive_producer_label,filming_location,filming_location_label,genre,genre_label,image,imdb_id,imdb_rating,instance_of,instance_of_label,language,language_label,main_subject,main_subject_label,narrative_location,narrative_location_label,official_website,original_network,original_network_label,part_of_series,part_of_series_label,production_company,production_company_label,publication_date,qid,rotten_tomatoes_id,screenwriter,screenwriter_label,title_en,title_tr,year
Q131520|Q277751|Q1011509|Q1265702|Q393686|Q586356|Q3870545,En İyi Sinematografi Akademi Ödülü|En İyi Sanat Yönetmeni Akademi Ödülü|En İyi Sinema Filmi Altın Küre Ödülü - Drama|En İyi Yönetmen Saturn Ödülü|En İyi Görsel Efekt Akademi Ödülü|En İyi Yönetmen Altın Küre Ödülü|Q3870545,Q2617247,Avatar'ın kurgusal evreni,,,+2847379794|+760507625|+93442625,+237000000,Q82085|Q190162|Q312902|Q184219|Q371786|Q224081|Q1225469|Q302335|Q236434|Q350819|Q1889482|Q469145|Q1141130|Q20667761|Q194032|Q102124|Q107597956|Q59211430,Sam Worthington|Zoe Saldana|Stephen Lang|Michelle Rodriguez|Q371786|Giovanni Ribisi|Dileep Rao|Laz Alonso|C. C. H. Pounder|Wes Studi|Q1889482|Peter Mensah|Scott Lawrence|Q20667761|Debra Wilson|Sigourney Weaver|Q107597956|Q59211430,Q106221|Q16195065,James Horner|Q16195065,Q30,Amerika Birleşik Devletleri,2009 film directed by James Cameron,2009 yapımı Amerikan filmi,Q42574,James Cameron,Q1005887|Q54958752,Fórum Hungary|Disney+,+162,162,Q1708464,Q1708464,Q99|Q782|Q664,Kaliforniya|Hawaii|Yeni Zelanda,Q471839|Q188473|Q319221|Q904447|Q25110269|Q652256|Q132803402,bilimkurgu filmi|aksiyon filmi|macera filmi|askeri bilimkurgu|Q25110269|Epik film|Q132803402,Avatar Flight of Passage (33825582954).jpg,tt0499549,7.4/10|83%|82%|83/100,Q11424,film,Q316939|Q1860,Na'vi dili|İngilizce,Q544830|Q120877|Q7150|Q181508,Telebulunuş|klonlama|ekoloji|dünya dışı yaşam,Q2066977,Q2066977,https://www.avatar.com/movies/avatar,Q27253940|Q27253945,Q27253940|Q27253945,Q29387886,Avatar,Q434841|Q775450|Q3041294|Q646968,20th Century Fox|Lightstorm Entertainment|Q3041294|Ingenious Media,+2009-12-18T00:00:00Z|+2009-12-18T00:00:00Z|+2009-12-17T00:00:00Z|+2009-12-17T00:00:00Z|+2009-12-16T00:00:00Z|+2022-09-22T00:00:00Z,Q24871,m/avatar,Q42574,James Cameron,Avatar,Avatar,2009
,,Q69920250,Q69920250,,,+1081169825|+448149584|+160887295,+250000000,Q45772|Q123351|Q83492|Q36301|Q208026|Q8927|Q177311|Q48337|Q225933|Q58444|Q202589|Q318249|Q2438420|Q967833|Q234434|Q816565|Q648565|Q981821|Q117415|Q737369|Q241962|Q451880|Q312294|Q112536|Q358032|Q176277|Q1341761|Q708059|Q1319539|Q717631|Q1364838|Q909704|Q320973|Q3147237|Q554606|Q275658|Q1174630|Q4088048|Q5567967|Q445146|Q536653|Q948751|Q192643|Q16213294|Q3806600|Q6166387|Q468915|Q4334647|Q12858652,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy|Marion Cotillard|Joseph Gordon-Levitt|Morgan Freeman|Nestor Carbonell|Liam Neeson|Cillian Murphy|Matthew Modine|Alon Abutbul|Q967833|Juno Temple|Ben Mendelsohn|Daniel Sunjata|Q981821|Q117415|Tomas Arana|Tom Conti|William Devane|Christopher Judge|Joey King|Aidan Gillen|Brett Cullen|Reggie Lee|Chris Ellis|Thomas Lennon|Rob Brown|Q1364838|Brent Briscoe|Robert Wisdom|Ian Bohen|Q554606|Wade Williams|David Gyasi|Q4088048|Glen Powell|Q445146|Jillian Armenante|Q948751|Aaron Eckhart|Q16213294|Q3806600|Jay Benedict|Linus Roache|Vincent van Ommen|John Nolan,Q76364,Hans Zimmer,Q30|Q145,Amerika Birleşik Devletleri|Birleşik Krallık,2012 film by Christopher Nolan,,Q25191,Christopher Nolan,Q1097348|Q907311,Q1097348|Netflix,+164,164,Q1383268|Q16213294|Q2740528,Michael Uslan|Q16213294|Benjamin Melniker,Q60|Q1408|Q65|Q2044|Q1342|Q84|Q15133942|Q244095,New York|New Jersey|Los Angeles|Firenze|Pittsburgh|Londra|Q15133942|Bellagio,Q1535153|Q188473|Q19367312|Q2484376|Q130232,süper kahraman filmi|aksiyon filmi|suç gerilim filmi|gerilim filmi|drama film,Batman 3.JPG,tt1345836,8/10|87%|78/100,Q11424,film,Q1860,İngilizce,Q1712140|Q7283,İntikam|terörizm,Q48,Asya,https://www.warnerbros.com/movies/dark-knight-rises,Q27253945,Q27253945,Q12859908|Q2111133,Q12859908|Batman filmleri,Q2924461|Q621364|Q984047,DC Comics|Q621364|Syncopy,+2012-07-25T00:00:00Z|+2012-07-26T00:00:00Z|+2012-07-20T00:00:00Z|+2012-07-25T00:00:00Z|+2022-10-06T00:00:00Z,Q189330,m/the_dark_knight_rises,Q372788|Q25191|Q313048|Q352010,Jonathan Nolan|Christopher Nolan|Bob Kane|David S. Goyer,The Dark Knight Rises,Kara Şövalye Yükseliyor,2012
Q6404857|Q18154814,Q6404857|Q18154814,Q5410773,Harry Potter kurgusal evreni,Q46751,Harry Potter ve Ateş Kadehi,+895921036|+290469928,+150000000,Q38119|Q19190|Q39476|Q296008|Q28493|Q203545|Q206659|Q214223|Q83492|Q106481|Q172653|Q287824|Q36767|Q376025|Q232868|Q109098|Q214601|Q229241|Q343463|Q521891|Q233457|Q111230|Q105466|Q108270|Q434694|Q105682|Q461401|Q459422|Q253495|Q235716|Q320073|Q1320903|Q232889|Q457702|Q256250|Q3177370|Q374041|Q235572|Q1401230|Q10863062|Q935153|Q4495106|Q11762818|Q1655682|Q250250|Q2347348|Q268436|Q1299000|Q286410|Q3436554|Q4289160|Q4768521|Q356994|Q512005|Q5240076|Q5508892|Q4531298|Q7613221|Q842263|Q5725010|Q318155|Q7614570|Q1712817|Q7328754,Daniel Radcliffe|Rupert Grint|Emma Watson|Robbie Coltrane|Ralph Fiennes|Michael Gambon|Brendan Gleeson|Jason Isaacs|Gary Oldman|Alan Rickman|Maggie Smith|Timothy Spall|Robert Pattinson|Stanislav Ianevski|Clémence Poésy|Katie Leung|David Tennant|Miranda Richardson|Mark Williams|Predrag Bjelac|Frances de la Tour|Matthew Lewis|Bonnie Wright|Warwick Davis|Robert Hardy|Tom Felton|Q461401|Q459422|Shefali Chowdhury|Afshan Azad|David Bradley|Q1320903|Shirley Henderson|Q457702|William Melling|Tolga Safer|Adrian Rawlins|Q235572|James Phelps|Oliver Phelps|Roger Lloyd-Pack|Q4495106|Q11762818|Q1655682|Alfred Enoch|Sarah Harrison|Q268436|Q1299000|Jonny Greenwood|Robert Wilfort|Margery Mason|Q4768521|Jarvis Cocker|Sheila Allen|Q5240076|Q5508892|Q4531298|Q7613221|Phil Selway|Q5725010|Devon Murray|Q7614570|Q1712817|Q7328754,Q363241,Q363241,Q145|Q30,Birleşik Krallık|Amerika Birleşik Devletleri,2005 film directed by Mike Newell,Harry Potter serisinin dördüncü filmi (2005),Q312088,Mike Newell,Q126399|Q907311,Warner Bros.|Netflix,+151,151,Q7684047|Q975579,Tanya Seghatchian|David Barron,Q661896|Q1376987,Pinewood Studios|Q1376987,Q157394|Q2143665|Q319221|Q52207399,Q157394|çocuk filmi|macera filmi|romandan uyarlanan film,Dragon Challenge 19.jpg,tt0330373,7.4/10|88%|81/100,Q11424,film,Q1860,İngilizce,,,Q22|Q21,İskoçya|İngiltere,http://harrypotter.warnerbros.co.uk/gobletoffire/,Q27253940,Q27253940,Q216930,Harry Potter,Q2415769|Q126399,Heyday Films|Warner Bros.,+2005-11-06T00:00:00Z|+2005-11-16T00:00:00Z|+2005-11-30T00:00:00Z|+2005-11-18T00:00:00Z|+2022-11-03T00:00:00Z,Q102225,m/harry_potter_and_the_goblet_of_fire,Q362061,Steve Kloves,Harry Potter and the Goblet of Fire,Harry Potter ve Ateş Kadehi,2005
,,Q5410773,Harry Potter kurgusal evreni,Q47598,Harry Potter ve Azkaban Tutsağı,+797361618|+250105651,+130000000,Q38119|Q19190|Q39476|Q296008|Q203545|Q314831|Q83492|Q106481|Q73612|Q172653|Q287824|Q212790|Q168724|Q228747|Q343463|Q434694|Q461401|Q459422|Q111230|Q329778|Q234071|Q105466|Q441923|Q318155|Q108270|Q320073|Q181413|Q236309|Q3720010|Q1811844|Q374041|Q1343140|Q105682|Q1401230|Q10863062|Q235572|Q1689361|Q3178953|Q250250|Q11957294|Q4143144|Q10306654|Q4354315|Q3175896|Q234128,Daniel Radcliffe|Rupert Grint|Emma Watson|Robbie Coltrane|Michael Gambon|Richard Griffiths|Gary Oldman|Alan Rickman|Fiona Shaw|Maggie Smith|Timothy Spall|David Thewlis|Emma Thompson|Julie Walters|Mark Williams|Robert Hardy|Q461401|Q459422|Matthew Lewis|Harry Melling|Pam Ferris|Bonnie Wright|Chris Rankin|Devon Murray|Warwick Davis|David Bradley|Julie Christie|Q236309|Q3720010|Lee Ingleby|Adrian Rawlins|Q1343140|Tom Felton|James Phelps|Oliver Phelps|Q235572|Q1689361|Jim Tavaré|Alfred Enoch|Alex Crockford|Genevieve Gaunt|Q10306654|Sitara Shah|Lenny Henry|Q234128,Q131285,John Williams,Q30|Q145,Amerika Birleşik Devletleri|Birleşik Krallık,2004 film directed by Alfonso Cuarón,,Q28028,Alfonso Cuarón,Q126399,Warner Bros.,+141|+142,141,Q11778321|Q7684047,Q11778321|Tanya Seghatchian,,,Q157394|Q2143665|Q52207399|Q5258881|Q104765957|Q319221,Q157394|çocuk filmi|romandan uyarlanan film|Q5258881|Q104765957|macera filmi,Dumbledore's Manikin.jpg,tt0304141,7.8/10|90%|82/100,Q11424,film,Q1860,İngilizce,Q182154|Q81741|Q186610,zaman yolculuğu|büyü|Q186610,Q84|Q21,Londra|İngiltere,https://www.wizardingworld.com/discover/films/harry-potter-and-the-prisoner-of-azkaban,,,Q216930,Harry Potter,Q2415769|Q678058|Q126399,Heyday Films|Q678058|Warner Bros.,+2004-05-31T00:00:00Z|+2004-06-03T00:00:00Z|+2004-06-02T00:00:00Z|+2004-06-04T00:00:00Z|+2004-07-29T00:00:00Z|+2004-06-10T00:00:00Z|+2022-08-18T00:00:00Z,Q102448,m/harry_potter_and_the_prisoner_of_azkaban,Q362061|Q34660,Steve Kloves|J. K. Rowling,Harry Potter and the Prisoner of Azkaban,Harry Potter ve Azkaban Tutsağı,2004
,,,,,,,,Q459727|Q1039595|Q455896|Q2462065|Q3544184|Q3549592,Yuka Onishi|Tomokazu Miura|Youki Kudō|Yuriko Fuchizaki|Shingo Tsurumi|Tomiko Ishii,Q3482048,Shigeaki Saegusa,Q17,Japonya,1985 film by Shinji Sōmai,,Q45253,Shinji Sōmai,Q875920,Toho,+115,115,,,,,Q188473|Q20442589|Q130232,aksiyon filmi|Q20442589|drama film,,tt0088222,83%,Q11424,film,Q5287,Japonca,,,,,,,,,,,,+1985-01-01T00:00:00Z|+1985-06-00T00:00:00Z|+1985-08-31T00:00:00Z|+1986-12-12T00:00:00Z|+2024-05-23T00:00:00Z,Q74437,m/typhoon_club,Q126006303,Q126006303,Typhoon Club,,1985
Q2366088,Q2366088,,,,,+41711,,,,,,Q30,Amerika Birleşik Devletleri,2009 documentary film,,Q7092172,Q7092172,Q907311,Netflix,+90,90,,,,,Q93204,belgesel film,,tt0498329,82%|7.2/10,Q11424|Q98069877,film|Q98069877,Q1860,İngilizce,Q75|Q188728,internet|Gizlilik,,,http://www.weliveinpublicthemovie.com/,,,,,,,+2009-01-19T00:00:00Z,Q372,m/1217389-we_live_in_public,Q7092172,Q7092172,We Live in Public,,2009
